"Année","Entité administrative","Activité","Energie","Variable","Valeur","Unite"
"2007","FOS-SUR-MER (13)","Tous secteurs","Toutes énergies","conso","","Secret Stat"
"2007","FOS-SUR-MER (13)","Tous secteurs","Toutes énergies","conso","578473.5","tep"
"2007","FOUILLOUSE (05)","Tous secteurs","Toutes énergies","conso","224.8","tep"
"2007","FOX-AMPHOUX (83)","Tous secteurs","Toutes énergies","conso","823.3","tep"
"2007","FREISSINIÈRES (05)","Tous secteurs","Toutes énergies","conso","392.3","tep"
"2007","FRÉJUS (83)","Tous secteurs","Toutes énergies","conso","86719.9","tep"
"2007","FURMEYER (05)","Tous secteurs","Toutes énergies","conso","242.8","tep"
"2007","FUVEAU (13)","Tous secteurs","Toutes énergies","conso","20438.6","tep"
"2007","GANAGOBIE (04)","Tous secteurs","Toutes énergies","conso","3041.1","tep"
"2007","GAP (05)","Tous secteurs","Toutes énergies","conso","67301.7","tep"
"2007","GARDANNE (13)","Tous secteurs","Toutes énergies","conso","","Secret Stat"
"2007","GARDANNE (13)","Tous secteurs","Toutes énergies","conso","41240.1","tep"
"2007","GARDE-COLOMBES (05)","Tous secteurs","Toutes énergies","conso","2137.7","tep"
"2007","GARÉOULT (83)","Tous secteurs","Toutes énergies","conso","5262.1","tep"
"2007","GARGAS (84)","Tous secteurs","Toutes énergies","conso","3473.0","tep"
"2007","GARS (06)","Tous secteurs","Toutes énergies","conso","64.5","tep"
"2007","GASSIN (83)","Tous secteurs","Toutes énergies","conso","11782.0","tep"
